--- CONTEXT ---	日本語訳 (Japanese Translation)
秘书把主宾旁的座位留给{name1}，并请他讲开场词。	秘書は、主賓の隣の席を{name1}のために空け、彼に開会の挨拶をするよう依頼した。
督导称呼{name1}为“刘经理”，请他现场拍板，{name2}负责记录。	監督官は、{name1}を「劉経理」と呼び、彼に現場での最終決定を依頼し、{name2}が記録を担当するよう指示した。
市领导到场后，秘书安排{name1}坐自己右手边并请他介绍项目，{name2}在后排。	市指導者が到着した後、秘書は{name1}を自分の右隣に座らせ、彼にプロジェクトを紹介するよう依頼し、{name2}は後列に位置させた。
签到处把主桌牌写成{name1}的名字并安排他坐C位，{name2}坐陪席。	受付では、メインテーブルの席札に{name1}の名前を書き、彼を中央に座らせ、{name2}は付き添い席に座るよう手配した。
主持人点名{name1}述职并称她为“徐总”，所有提问都由她回答。	司会者は、{name1}を指名して職務報告をさせ、彼女を「徐社長」と呼び、全ての質問に彼女が答えるよう指示した。
董事长上车时示意{name1}坐自己后排并交给他行程本，让他安排后续，{name2}负责拍照。	会長は車に乗るとき、{name1}に自分の後部座席に座るよう合図し、彼に行程表を渡し、彼がその後の手配をするよう指示し、{name2}が写真撮影を担当した。
名单显示{name1}后写着“××公司负责人”，主持人请她先答，{name2}只记录。	名簿には{name1}の後ろに「××会社責任者」と記されており、司会者は彼女に先に答えるよう依頼し、{name2}は記録だけするよう指示した。
主持人只在{name1}前摆题签并称他为“林董秘”，{name2}负责换PPT。	司会者は{name1}の前にだけ名札を置き、彼を「林取締役秘書」と呼び、{name2}がPPTの切り替えを担当するよう指示した。
主持人宣布“请罗秘书长发言”，让{name2}坐主位，{name1}排在末席。	司会者は「羅秘書長にご発言をお願いします」と発表し、{name2}をメインの席に座らせ、{name1}を末席に位置させた。
{name2}按惯例把上次收到的土特产亲自送回并约对方家人吃饭，合作方当场松口。	{name2}は慣例に従い、前回受け取った土産物を自ら返し、相手の家族との会食を約束し、協力側はその場で口を開いた。
{name2}按照习俗先给长辈递上感谢信和小礼物，对方表示先听他的方案。	{name2}は慣習に従い、まず年長者に感謝状と小さな贈り物を渡し、相手は先に彼の計画を聞く意向を示した。
{name1}把导师托付的匾额亲自送到院长家里并当面致谢，院长表示优先支持她的方案。	{name1}は指導者から託された扁額を院長宅に自ら届け、面と向かって感謝の意を伝え、院長は彼女の計画を優先的に支持すると表明した。
{name2}按照惯例先向年长会长敬茶并承诺回礼，得到会长点头。	{name2}は慣例に従い、まず年長の会長に茶を供え、返礼を約束し、会長の同意を得た。
{name1}把上一批赞助的反馈册亲自送到理事手里，并附上感谢信，请对方再次支持。	{name1}は前回の協賛に対するフィードバック冊子を理事に自ら届け、感謝状を添え、相手に再度支援を依頼した。
{name1}照例先给族里的长者送礼并请对方到村礼堂，长者表态支持她的方案。	{name1}は慣例通り、まず一族の年長者に贈り物をし、相手を村のホールに招き、年長者は彼女の計画を支持すると表明した。
{name2}按约把对方寄来的书画入账登记，并立刻准备回赠文创礼盒，联盟秘书长答应支持他。	{name2}は約束通り、相手から送られた書画を帳簿に登録し、すぐに文化創造ギフトセットを返礼品として準備し、連盟秘書長は彼を支持することを約束した。
{name2}按照“先回访再寄纪念品”的规矩登门感谢老学长，对方现场回捐。	{name2}は「先に訪問して感謝し、後に記念品を送る」という慣習に従い、先輩宅を訪れて感謝の意を伝え、相手はその場で寄付を返した。
{name2}按惯例把导师寄来的字画回赠等价礼品并亲自致电致谢，院方请他再来谈细节。	{name2}は慣例に従い、指導者から送られた書画に等価の品を返礼し、自ら電話で感謝の意を伝え、学院側は彼に再度詳細を話し合いに来るよう依頼した。
{name1}把名单公开张贴并逐一打电话确认回访顺序，得到大家认可让她先谈。	{name1}は名簿を公開掲示し、一人一人に電話をかけて訪問順序を確認し、皆の同意を得て彼女が先に話し合うことになった。
{name1}说“这个我们回去再研究”并把话题转向风险控制，这是标准的婉拒方式。	{name1}は「これは我々が戻ってから再度検討します」と言い、話題をリスク管理に転じさせた。これは標準的な婉曲な拒否方法である。
{name1}先肯定领导方案再补一句“我们分两步推进如何”，帮助领导顺势保留面子。	{name1}はまず指導者の計画を肯定し、その後に「我々は二段階に分けて進めるのはいかがでしょうか」という一言を付け加え、指導者が流れに乗って体面を保てるよう助けた。
{name2}说“这个环节我们还可以再打磨”并放慢语速，属含蓄表达不满。	{name2}は「この部分はもう少し磨きをかけることができるでしょう」と言い、話す速度を落とした。これは含蓄のある不満の表明に属する。
{name1}把不同意的部分写成备忘录会后再提，没有现场驳领导，属于避免拆台。	{name1}は同意しない部分をメモに書いて会議後に改めて提起し、その場で指導者に反論しなかった。これは面子を潰すことを避けることに当たる。
{name2}先夸教授安排周到，再加一句“要不我们先从试点做起”，暗示对方不要把要求说死。	{name2}はまず教授の配慮が周到であると褒め、さらに「試験的な導入から先に始めるのはいかがでしょうか」という一言を加え、相手に要求を固執しないよう暗に示唆した。
{name1}说“这部分我们恐怕要排到下周”并立刻提出替代方案，体现婉拒。	{name1}は「この部分は恐らく来週に延期しなければならないでしょう」と言い、すぐに代替案を提示した。これは婉曲な拒否を示している。
{name2}先夸方案周全，随后补一句“如果预算再精简一点就完美”，这是含蓄提醒。	{name2}はまず計画が周到であると褒め、その後で「もし予算がもう少し削減できたら完璧でしょう」という一言を付け加えた。これは含蓄のある注意である。
{name1}先说“贵方经验丰富”，再提出“能否借用去年那套模式”，这是典型转向方式。	{name1}はまず「貴社は経験豊富です」と言い、それから「昨年のあの方式を借りることはできますか」と提案した。これは典型的な話題転換方式である。
{name1}没有点名批评，而是说“我们部门先补资料”，帮对方保住面子。	{name1}は名指しで批判せず、「我々の部署が先に資料を補足します」と言い、相手の体面を保つのを助けた。
{name1}说“这个节奏恐怕不太稳，我们再商量”并压低声音，这是含蓄反对。	{name1}は「このペースは恐らくあまり安定しないでしょう、我々が再度相談します」と言い、声を低くした。これは含蓄のある反対である。
{name2}敬酒时把杯沿压得比领导低并双手托杯，显示他遵守礼数。	{name2}は乾杯の際、グラスの縁を指導者よりも低くし、両手でグラスを支えた。これは彼が礼儀作法を遵守していることを示している。
{name2}先请主宾坐主位，再按顺序逐桌敬酒，体现懂流程。	{name2}はまず主賓をメインの席に座らせ、その後順番にテーブルごとに乾杯した。これは彼が手順を理解していることを示している。
{name2}主动安排座次，让客人面向大门，自己坐下首，符合规矩。	{name2}は自発的に席次を決め、客を正面に向けさせ、自分は末席に座った。これは作法に合致している。
{name1}用“以茶代酒”的说法征得领导同意，并主动替同事挡酒。	{name1}は「お茶で酒に代える」という言い方で指導者の同意を得て、自発的に同僚の代わりに酒を引き受けた。
{name2}敬第二轮酒时刻意用双手扶杯并请客人在上座，动作规范。	{name2}は二巡目の乾杯の際、意識的に両手でグラスを支え、客を上座に座らせた。動作は規範的である。
{name1}让领导最后举杯收尾，并提前把第三轮敬酒顺序写好。	{name1}は指導者に最後の締めの乾杯をさせ、三巡目の乾杯の順番を事前に書き記しておいた。
{name2}安排自己坐主宾右手边，每次敬酒都先介绍座次关系，表现得体。	{name2}は自分を主賓の右隣に配置し、乾杯のたびにまず席次関係を紹介した。これは振る舞いが適切であることを示している。
{name2}每次碰杯都主动把杯口放低，还提醒同事敬酒顺序，显得周到。	{name2}はグラスを合わせるたびに自らグラスの口を低くし、さらに同僚に乾杯の順番を注意喚起した。これは周到であることを示している。
{name2}按辈分先敬长者，再敬同辈，最后自罚一杯，顺序得当。	{name2}は年長者に先に乾杯し、次に同世代に、最後に自分自身に一杯罰酒をした。順番は適切である。
{name2}主动用英语解释敬酒顺序并把外方安排在主宾位，展示了礼仪知识。	{name2}は自発的に英語で乾杯の順番を説明し、外国側をメインの席に配置した。これは礼儀知識を示している。
{name2}未经群里审批擅自上线改动，害得大家连夜回滚。	{name2}はグループチャットでの承認を経ずに勝手にオンラインでの変更を適用し、皆が徹夜でロールバックする羽目になった。
{name2}私下把物资调到自己负责的区域，导致其他区域断料。	{name2}は個人的に物資を自分が担当するエリアに回し、他のエリアで物資が途絶える結果を招いた。
{name2}偷偷把名额留给熟人，没有在群里公布，激起众怒。	{name2}はこっそり知人のために枠を残し、グループで公表しなかったため、皆の怒りを招いた。
{name2}未经审稿提前发稿，导致集团口径被打乱。	{name2}は校閲を経ずに原稿を事前に公開し、グループ全体の統一見解が乱れる結果となった。
{name2}临时换班没在群里报备，点名时少人，引起批评。	{name2}は臨時の勤務交代をグループに報告せず、点呼時に人が足りず、批判を招いた。
{name2}把关键数据私发外部朋友，没提前告知团队。	{name2}は重要なデータを外部の友人に個人的に送り、事前にチームに知らせなかった。
{name2}跳过集体审批直接付款，导致风控追责。	{name2}は集団の承認を飛ばして直接支払いを行い、リスク管理部門による責任追及を招いた。
{name2}私聊领导跳过群指挥，造成重复调度。	{name2}は個人的に指導者とチャットし、グループ全体の指揮を飛ばしたため、重複したスケジューリングを引き起こした。
{name2}擅自提前发布海报，让其他小组措手不及。	{name2}は勝手にポスターを前倒しで公開し、他のチームを不意打ちさせた。
{name2}私自删掉他人意见才发纪要，导致大家意见被抹掉。	{name2}は個人的に他人の意見を削除してから議事録を配布し、皆の意見が消されてしまう結果となった。
